project_id,partner_org,partner_org_id,partner_role
A586EEBA-D241-49F6-A383-0775A751B74B,Biopower Technologies UK,739941AD-70F4-4908-B6C1-086262018827,PP_ORG
B8080385-895B-455D-BE1B-9054D155BC00,"Jawaharlal Nehru University, India",A65BC39F-1415-4616-918D-4C1016DD88E5,COLLAB_ORG
DEFE3C1C-ADA5-4283-94DD-65A8FA6099AA,ICAN Int Campn Abolish Nuclear Weapons,14890732-DE2D-48F8-8E77-D7C0712E4ED4,PP_ORG
DEFE3C1C-ADA5-4283-94DD-65A8FA6099AA,Reaching Critical Will (RCW),89ACAD39-5D1E-4AAF-82F4-D80A2F9B8838,PP_ORG
DEFE3C1C-ADA5-4283-94DD-65A8FA6099AA,Nuclear Age Peace Foundation (NAPF),61B00D08-C613-4223-AF6E-6448B3E92CF9,PP_ORG
DEFE3C1C-ADA5-4283-94DD-65A8FA6099AA,Campaign for Nuclear Disarmament,BFD602F8-BE33-4CCF-98B4-06AB85664E00,PP_ORG
DEFE3C1C-ADA5-4283-94DD-65A8FA6099AA,British American Security Info Council,43205E1E-D352-4DCA-9FCE-3672F0F25619,PP_ORG
F7D7B664-0F54-4396-9AF8-A9087E1B0FA9,University College Dublin,8934133A-B52F-4A87-8FA8-4EAA37543ED6,COLLAB_ORG
F7D7B664-0F54-4396-9AF8-A9087E1B0FA9,The UK in a Changing Europe,51AEADC4-DC18-461B-B135-71DC6633F027,COLLAB_ORG
F7D7B664-0F54-4396-9AF8-A9087E1B0FA9,Government of Scotland,8AD011CE-BA40-4A2F-B5BB-57DE53089CBE,COLLAB_ORG
F7D7B664-0F54-4396-9AF8-A9087E1B0FA9,Scottish Parliament,E85631D2-62C7-4519-B04A-93E7BC680956,COLLAB_ORG
F7D7B664-0F54-4396-9AF8-A9087E1B0FA9,Royal Society of Edinburgh (RSE),571DD76A-91F6-4E59-88A0-A3D2B94B481B,COLLAB_ORG
F7D7B664-0F54-4396-9AF8-A9087E1B0FA9,European Academy Bolzano EURAC,4787E504-E33B-4D8A-8D94-839BE158FB8A,COLLAB_ORG
F7D7B664-0F54-4396-9AF8-A9087E1B0FA9,"Embassy of France, London",86E294FC-3430-4FB4-B2C0-6C3514960763,COLLAB_ORG
