staff_name,url,region,countries
"Duckett, Professor Jane",https://www.gla.ac.uk/schools/socialpolitical/staff/janeduckett/,Europe,
"Duckett, Professor Jane",https://www.gla.ac.uk/schools/socialpolitical/staff/janeduckett/,North-East Asia,
"Duncan, Professor Jane",https://www.gla.ac.uk/schools/socialpolitical/staff/janeduncan/,Southern Africa,Botswana; South Africa
"Elliot, Dr Rosemary",https://www.gla.ac.uk/schools/socialpolitical/staff/rosemaryelliot/,Europe,Germany
"Faude, Dr Benjamin",https://www.gla.ac.uk/schools/socialpolitical/staff/benjaminfaude/,Europe,Germany
"Fear, Professor Jeffrey",https://www.gla.ac.uk/schools/socialpolitical/staff/jeffreyfear/,Europe,Germany
"Fedirko, Dr Taras",https://www.gla.ac.uk/schools/socialpolitical/staff/tarasfedirko/,Europe,Germany; Ukraine
"Fedirko, Dr Taras",https://www.gla.ac.uk/schools/socialpolitical/staff/tarasfedirko/,Russia,Russia
"Ferguson, Dr Angus",https://www.gla.ac.uk/schools/socialpolitical/staff/angusferguson/,Middle East,
"Florea, Dr Adrian",https://www.gla.ac.uk/schools/socialpolitical/staff/adrianflorea/,Europe,Cyprus
"Florea, Dr Adrian",https://www.gla.ac.uk/schools/socialpolitical/staff/adrianflorea/,North Africa,Western Sahara
"Florea, Dr Adrian",https://www.gla.ac.uk/schools/socialpolitical/staff/adrianflorea/,South Asia,India
"Fontana, Dr Lorenza",https://www.gla.ac.uk/schools/socialpolitical/staff/lorenzafontana/,Latin America,Bolivia
"Fontana, Dr Lorenza",https://www.gla.ac.uk/schools/socialpolitical/staff/lorenzafontana/,Russia,
"Fowler, Professor Bridget",https://www.gla.ac.uk/schools/socialpolitical/staff/bridgetfowler/,Europe,
"Fraser, Professor Alistair",https://www.gla.ac.uk/schools/socialpolitical/staff/alistairfraser/,China,Hong Kong
"Fraser, Professor Alistair",https://www.gla.ac.uk/schools/socialpolitical/staff/alistairfraser/,Middle East,
"Gamalaldin, Dr Yahya",https://www.gla.ac.uk/schools/socialpolitical/staff/yahyagamalaldin/,North Africa,
"Gawlewicz, Dr Anna",https://www.gla.ac.uk/schools/socialpolitical/staff/annagawlewicz/,Europe,France; Poland
"Gherghina, Professor Sergiu",https://www.gla.ac.uk/schools/socialpolitical/staff/sergiugherghina/,Europe,
"Gibb, Dr Robert",https://www.gla.ac.uk/schools/socialpolitical/staff/robertgibb/,Europe,Bulgaria; France
"Gibb, Professor Ken",https://www.gla.ac.uk/schools/socialpolitical/staff/kennethgibb/,Australasia,Australia
"Gibb, Professor Ken",https://www.gla.ac.uk/schools/socialpolitical/staff/kennethgibb/,Europe,Ireland
"Gibbs, Dr Ewan",https://www.gla.ac.uk/schools/socialpolitical/staff/ewangibbs/,Europe,Ireland
"Gibbs, Dr Ewan",https://www.gla.ac.uk/schools/socialpolitical/staff/ewangibbs/,Middle East,
"Gillies, Dr Allan",https://www.gla.ac.uk/schools/socialpolitical/staff/allangillies/,Latin America,Bolivia; Colombia
"Gillies, Dr Allan",https://www.gla.ac.uk/schools/socialpolitical/staff/allangillies/,Middle East,
"Grek, Professor Sotiria",https://www.gla.ac.uk/schools/socialpolitical/staff/sotiriagrek/,Europe,
"Happer, Professor Catherine",https://www.gla.ac.uk/schools/socialpolitical/staff/catherinehapper/,Latin America,
"Hardman, Dr Helen",https://www.gla.ac.uk/schools/socialpolitical/staff/helenhardman/,Europe,
"Havercroft, Professor Jonathan",https://www.gla.ac.uk/schools/socialpolitical/staff/jonathanhavercroft/,Latin America,Brazil
"Havercroft, Professor Jonathan",https://www.gla.ac.uk/schools/socialpolitical/staff/jonathanhavercroft/,North America,Canada; United States
"Head, Professor Naomi",https://www.gla.ac.uk/schools/socialpolitical/staff/naomihead/,Europe,Germany; Kosovo
"Head, Professor Naomi",https://www.gla.ac.uk/schools/socialpolitical/staff/naomihead/,Middle East,Iraq; Israel; Palestine
"Head, Professor Naomi",https://www.gla.ac.uk/schools/socialpolitical/staff/naomihead/,South Asia,Afghanistan
"Heaney, Dr Michael",https://www.gla.ac.uk/schools/socialpolitical/staff/michaelheaney/,North America,United States
"Hinde, Dr Dominic",https://www.gla.ac.uk/schools/socialpolitical/staff/dominichinde/,Europe,Sweden
"Hoolachan, Dr Andrew",https://www.gla.ac.uk/schools/socialpolitical/staff/andrewhoolachan/,Europe,
"Hossain, Dr Adnan",https://www.gla.ac.uk/schools/socialpolitical/staff/adnanhossain/,Europe,
"Hossain, Dr Adnan",https://www.gla.ac.uk/schools/socialpolitical/staff/adnanhossain/,Latin America,Trinidad
"Hossain, Dr Adnan",https://www.gla.ac.uk/schools/socialpolitical/staff/adnanhossain/,South Asia,Bangladesh; India; Pakistan
"Hume, Professor Mo",https://www.gla.ac.uk/schools/socialpolitical/staff/mohume/,Europe,
"Hume, Professor Mo",https://www.gla.ac.uk/schools/socialpolitical/staff/mohume/,Latin America,Colombia; El Salvador
"Humphrey, Dr Harvey",https://www.gla.ac.uk/schools/socialpolitical/staff/harveyhumphrey/,Australasia,Australia
"Humphrey, Dr Harvey",https://www.gla.ac.uk/schools/socialpolitical/staff/harveyhumphrey/,Europe,Malta
"Hunter, Dr Benjamin",https://www.gla.ac.uk/schools/socialpolitical/staff/benjaminhunter/,China,China
"Hunter, Dr Benjamin",https://www.gla.ac.uk/schools/socialpolitical/staff/benjaminhunter/,South Asia,India
"Ietter, Dr Salome",https://www.gla.ac.uk/schools/socialpolitical/staff/salomeietter/,Europe,France
"Inch, Professor Andy",https://www.gla.ac.uk/schools/socialpolitical/staff/andyinch/,Europe,
Ioana Cerasella Chis,https://www.gla.ac.uk/schools/socialpolitical/staff/ioanacerasellachis/,Europe,
"Ivana, Dr Greti-Iulia",https://www.gla.ac.uk/schools/socialpolitical/staff/greti-iuliaivana/,Europe,
"Ivashinenko, Dr Nina",https://www.gla.ac.uk/schools/socialpolitical/staff/ninaivashinenko/,Europe,
"Ivashinenko, Dr Nina",https://www.gla.ac.uk/schools/socialpolitical/staff/ninaivashinenko/,Russia,Russia
"James, Dr Gareth",https://www.gla.ac.uk/schools/socialpolitical/staff/garethjames/,Southern Africa,Zimbabwe
"Johnstone, Dr Andrew",https://www.gla.ac.uk/schools/socialpolitical/staff/andrewjohnstone/,Europe,
"Johnstone, Dr Andrew",https://www.gla.ac.uk/schools/socialpolitical/staff/andrewjohnstone/,North-East Asia,Japan
"Joss, Professor Simon",https://www.gla.ac.uk/schools/socialpolitical/staff/simonjoss/,Europe,Switzerland
"Kaczmarski, Dr Marcin",https://www.gla.ac.uk/schools/socialpolitical/staff/marcinkaczmarski/,China,China; Taiwan
"Kaczmarski, Dr Marcin",https://www.gla.ac.uk/schools/socialpolitical/staff/marcinkaczmarski/,Europe,Finland
"Kaczmarski, Dr Marcin",https://www.gla.ac.uk/schools/socialpolitical/staff/marcinkaczmarski/,North-East Asia,Japan
"Kaczmarski, Dr Marcin",https://www.gla.ac.uk/schools/socialpolitical/staff/marcinkaczmarski/,Russia,Russia
"Kamete, Professor Amin",https://www.gla.ac.uk/schools/socialpolitical/staff/aminkamete/,Europe,Sweden
"Kamete, Professor Amin",https://www.gla.ac.uk/schools/socialpolitical/staff/aminkamete/,Southern Africa,Zimbabwe
"Kamete, Professor Amin",https://www.gla.ac.uk/schools/socialpolitical/staff/aminkamete/,West Africa,
"Karyotis, Professor Georgios",https://www.gla.ac.uk/schools/socialpolitical/staff/georgioskaryotis/,Europe,Greece
"Kintrea, Professor Keith",https://www.gla.ac.uk/schools/socialpolitical/staff/keithkintrea/,Europe,
"Kirby, Dr Nikolas",https://www.gla.ac.uk/schools/socialpolitical/staff/nikolaskirby/,Australasia,Australia
"Knight, Dr Carl",https://www.gla.ac.uk/schools/socialpolitical/staff/carlknight/,Latin America,
"Kollman, Professor Kelly",https://www.gla.ac.uk/schools/socialpolitical/staff/kellykollman/,Europe,
"Kollman, Professor Kelly",https://www.gla.ac.uk/schools/socialpolitical/staff/kellykollman/,North America,United States
"Langer, Professor Ana Ines",https://www.gla.ac.uk/schools/socialpolitical/staff/anaineslanger/,China,China
